1001,3e9,D,BLAINVILLE *1,HQ Blainville Main,Utilities,UTILITY,1
1002,3ea,D,BLAINVILLE *2,HQ Blainville Travail,Utilities,UTILITY,1
1003,3eb,D,BLAINVILLE *3,HQ Blainville Autre,Utilities,UTILITY,1
